,original
2663,"Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds which is being promoted openly.
@OfficialDMRC @DCP_DelhiMetro 
@dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi https://t.co/M2QdLB2rK8"
2664,@dcp_southwest @DCPNEastDelhi @DCPNewDelhi @DCPSEastDelhi @dcpouter @DCP_DelhiMetro @dcprohinidelhi @DCPCentralDelhi @DCPIGI @DcpBn Good efforts and well done
2667,@dcp_southwest @DCPNEastDelhi @DCPNewDelhi @DCPSEastDelhi @dcpouter @DCP_DelhiMetro @dcprohinidelhi @DCPCentralDelhi @DCPIGI @DcpBn good job
2668,@DCP_DelhiMetro men traveling in ladies coach. Highly disappointing! https://t.co/owBG5XZMRj
2670,"@OfficialDMRC @MoHUA_India @Secretary_MoHUA @DCP_DelhiMetro @CMODelhi 
How a daily commuters facing harrasment by Sr. SC Mr. Bipin Kumar who is overall incharge of dwarka sector 21 illegally band or damaged customer metro card while he is requested for un-readable card change. https://t.co/JzQfd9FgLk"
2673,@DrishtiSashakt @OfficialDMRC @ArvindKejriwal @DCP_DelhiMetro @smritiirani @AmitShah @HMOIndia @unwomenindia @UN @UNinIndia @PMOIndia @DeshKeMentor It was a really good session related to issues that are not considered generally . Sanitation facilities and security are must for women at every metro station.
2676,@DCP_DelhiMetro @OfficialDMRC @CPDelhi @DCPCentralDelhi After taking action kindly provide photos of action with timestamp like which i have provided
2679,"RT @manideep_shrma: .@OfficialDMRC Kashmiri Gate number 2 machine is not working..

Huge crowd standing ..

Security persons even not check…"
2687,@dcprohinidelhi @CPDelhi @DelhiPolice @dcp_southwest @DCP_NorthWest @dcp_outernorth @QaziBisma_IPS @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DcpNorthDelhi @DCPNEastDelhi @DCPSEastDelhi Nice
2689,@dcp_southwest @DCPNEastDelhi @DCPNewDelhi @DCPSEastDelhi @dcpouter @DCPDelhiRailway @DCP_DelhiMetro @dcprohinidelhi @DCPCentralDelhi @DCPIGI Good job Sir.
2693,@dcprohinidelhi @CPDelhi @DelhiPolice @dcp_southwest @DCP_NorthWest @dcp_outernorth @QaziBisma_IPS @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DcpNorthDelhi @DCPNEastDelhi @DCPSEastDelhi Respected sir u r doing good work🙏 jai hind
2694,"@dcprohinidelhi @CPDelhi @DelhiPolice @dcp_southwest @DCP_NorthWest @dcp_outernorth @QaziBisma_IPS @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DcpNorthDelhi @DCPNEastDelhi @DCPSEastDelhi Please clear pending issues, if possible. being a senior citizen its a request."
2696,@dcprohinidelhi @CPDelhi @DelhiPolice @dcp_southwest @DCP_NorthWest @dcp_outernorth @QaziBisma_IPS @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DcpNorthDelhi @DCPNEastDelhi @DCPSEastDelhi Great Efforts by you sir
2699,"My father has forgot the medical documents during the journey of Vaishali to Rajiv Chowk on 17/06/2022 at 1000AM-1040AM....Name mentioned on documents are ALI ABBAS
Kindly please help to trace the medical documents &amp; do let me know.
@OfficialDMRC @DCP_DelhiMetro @CPDelhi"
2700,"My father has forgot the medical documents during the journey of Vaishali to Rajiv Chowk on 17/06/2022 at 1000AM-1040AM....Name mentioned on documents are ALI ABBAS
Kindly please help to trace the medical documents &amp; do let me know.
@OfficialDMRC @DCP_DelhiMetro @DCPNewDelhi"
2704,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Very good
2707,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Great
2710,"@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Well sir ji aapki mehnat par pani ferne ke liye hi courts hai ...yeha azad ghoomenge aur aap inke peechhe peechhe
Court order to stop buldozer to punish dangai........ public property &amp; police hv no say only jahil jihadi hv right to  abuse &amp; stone thrower on public &amp; police   .."
2711,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Jai Hind Sir 👍 very good news keep it up Jai Delhi police
2713,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2714,"@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS By ur tweets, it very evident that u don’t spare any opportunity to display ur “Good work”bt at the same time u r least interested in solving general public’s grievances. This road is still closed. Location- near Modern Apartments sec15 Rohini https://t.co/bqnrvZ0gT5"
2715,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Good work
2716,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Good job Delhi police
2717,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2718,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Very good work sir Gi
2720,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Good job sir
2721,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2722,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Good
2724,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2725,@dcprohinidelhi @DelhiPolice @dcp_southwest @DCP_DelhiMetro @DCPIGI @DCPNewDelhi @DCPNEastDelhi @DCP_NorthWest @DcpNorthDelhi @dcp_outernorth @DCPSEastDelhi @QaziBisma_IPS Police Sepcil Staff done excellent work on them it is really apprrciable and take strict action against them
2727,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2731,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2732,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2733,"@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Your warking is good 
of all peoples only delhi police"
2734,@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Great work done by Delhi police [dil ki police]
2735,"@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Great effort towards saving lives 
Salute to u people and only police can do this"
2738,@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Good job sir
2739,@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Good job
2740,@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Good
2741,@PrashantInsp @CPDelhi @DCPCentralDelhi @DelhiPolice @DCPNEastDelhi @dcp_southwest @DcpNorthDelhi @DCPSouthDelhi @DCPSEastDelhi @dcp_outernorth @DCP_DelhiMetro @DCPWestDelhi @Subodhjansewak Great initiative... jai hind!!
2742,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2743,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2744,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2745,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2746,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2747,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2748,RT @Er_vikasy: Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism…
2749,"Is this not blasphemy? Don't we HINDUs deserve respect for our faith? How far will we continue to hold one-sided secularism in India! 😡😡😡
 #ArrestZubair
@DCP_DelhiMetro @BJP4Delhi @DelhiPolice @Uppolice @CPDelhi @KapilMishra_IND @MrsGandhi @MNageswarRaoIPS @TajinderBagga https://t.co/KuefUNTFVu"
2750,@DrishtiSashakt @OfficialDMRC @ArvindKejriwal @DCP_DelhiMetro @smritiirani @AmitShah @HMOIndia @unwomenindia @UN @UNinIndia @PMOIndia @DeshKeMentor My experience with delhi metro has mostly been pleasant. It just gets uncomfortable at times when men sit in the women's coach since they don't know it's for women.
2751,".@OfficialDMRC Kashmiri Gate number 2 machine is not working..

Huge crowd standing ..

Security persons even not checking luggage properly...High Security Threat due to this ...

Plz Note @DCP_DelhiMetro @"
2752,"@kavita_krishnan @ShreyaDU_AISA @OfficialDMRC @DCP_DelhiMetro ""The Messenger of Allah [ﷺ] married me when I was six year’s old, and consummated the marriage with me when I was nine, and I used to play with dolls."" - Aisha [RA], in Sunan an-Nasa'i 3378; Vol. 4, Book 26, Hadith 3380."
